recipe_id,name,prep_time_minutes,dietary_category,cuisine_type,description,ingredients,num_ingredients,source
1,Lentil Soup,25,Vegan,American,"A hearty, warming soup made from pantry staples.","vegetable broth, soy sauce, broccoli, cumin, peanut butter, almond butter, canned tomatoes",7,synthetic
2,Black Bean Tacos,14,Vegan,Fusion,Quick crispy tacos packed with protein.,"spinach, celery, lemon juice, frozen peas, chickpeas, quinoa",6,synthetic
3,Chickpea Curry,27,Vegan,American,Creamy coconut chickpea curry over rice.,"mushrooms, kidney beans, blueberries, broccoli, cumin, zucchini, quinoa",7,synthetic
4,Pasta Primavera,15,Vegan,Mediterranean,Light pasta loaded with fresh vegetables.,"peanut butter, oregano, coconut milk, tomato",4,synthetic
5,Tofu Stir Fry,24,Vegan,Italian,High-protein tofu stir fried with soy sauce and veggies.,"paprika, lime, salt, basil, black pepper, soy milk, pasta, banana, celery",9,synthetic
6,Avocado Toast,5,Vegan,Mexican,Quick nutritious toast with sliced avocado.,"broccoli, lemon juice, vegetable broth, black pepper",4,synthetic
7,Quinoa Bowl,21,Vegan,Mediterranean,Protein-packed quinoa with roasted vegetables.,"cilantro, tomato, lentils, turmeric",4,synthetic
8,Veggie Fried Rice,19,Vegan,Indian,Classic fried rice made entirely vegan.,"quinoa, black beans, oats, salt, tomato, oregano, banana, almond butter, almond milk, lime",10,synthetic
9,Peanut Noodles,11,Vegan,Italian,Cold sesame peanut noodles — no cooking required.,"zucchini, olive oil, nutritional yeast, apple",4,synthetic
10,Sweet Potato Curry,30,Vegan,Fusion,Coconut milk sweet potato curry over rice.,"olive oil, tomato, apple, corn",4,synthetic
11,Oatmeal Bowl,9,Vegan,Mexican,Hearty oats topped with banana and peanut butter.,"blueberries, sweet potato, frozen peas, mushrooms, quinoa, avocado, thyme, coconut milk",8,synthetic
12,Mushroom Pasta,20,Vegan,Mexican,Savory garlic mushroom pasta.,"nutritional yeast, chickpeas, cumin, frozen peas",4,synthetic
13,Tomato Basil Soup,19,Vegan,Indian,Classic creamy tomato basil soup.,"apple, sweet potato, pasta, zucchini",4,synthetic
14,Rice and Beans,17,Vegan,Fusion,Simple Latin-inspired rice and black beans.,"chili powder, black beans, oregano, frozen peas, broccoli, lentils, garlic, lime, banana, cumin",10,synthetic
15,Veggie Wrap,14,Vegan,Mediterranean,Tortilla wrap stuffed with hummus and fresh veggies.,"peanut butter, tomato, bread, canned tomatoes, olive oil",5,synthetic
16,Spiced Lentil Dal,30,Vegan,Mediterranean,Traditional Indian dal with turmeric and cumin.,"vegetable broth, zucchini, oats, almond butter, rice, basil",6,synthetic
17,Corn and Bean Salad,5,Vegan,Fusion,No-cook protein salad with lime dressing.,"tomato, almond milk, thyme, pasta, cumin, black pepper, oats, lime, rice, garlic",10,synthetic
18,Garlic Bread,7,Vegan,Italian,Toasted bread with olive oil and garlic.,"oats, soy milk, olive oil, turmeric, banana, oregano, tomato",7,synthetic
